customer_id,date_of_customer_visit,number_of_days_to_deliver_Product,fiter_Name,glass_distributor_name,time_spend_by_customer_in_shop
986,2025-12-04,6,"Fitter 1","Distributor 2",29
989,2025-04-29,5,"Fitter 4","Distributor 3",49
990,2025-04-11,2,"Fitter 2","Distributor 3",19
992,2025-03-06,5,"Fitter 2","Distributor 2",25
994,2025-01-14,6,"Fitter 3","Distributor 2",11
996,2025-02-11,7,"Fitter 1","Distributor 2",14
997,2025-12-18,7,"Fitter 3","Distributor 1",40
1000,2025-02-15,3,"Fitter 2","Distributor 2",34
1002,2025-04-14,7,"Fitter 2","Distributor 3",45
1003,2025-05-11,5,"Fitter 4","Distributor 1",24
1004,2025-09-20,6,"Fitter 5","Distributor 1",48
1006,2025-06-26,3,"Fitter 5","Distributor 2",27
1011,2025-12-06,2,"Fitter 2","Distributor 3",33
1012,2025-11-22,2,"Fitter 4","Distributor 1",45
1014,2025-03-02,7,"Fitter 4","Distributor 3",20
1015,2025-02-25,1,"Fitter 4","Distributor 3",18
1017,2025-06-19,6,"Fitter 5","Distributor 1",36
1018,2025-12-12,5,"Fitter 2","Distributor 3",11
1019,2025-07-07,3,"Fitter 3","Distributor 2",18
1021,2025-07-24,4,"Fitter 1","Distributor 1",10
1022,2025-09-06,6,"Fitter 2","Distributor 2",33
1025,2025-08-21,4,"Fitter 2","Distributor 2",38
1031,2025-04-18,4,"Fitter 4","Distributor 3",27
1037,2025-01-17,7,"Fitter 3","Distributor 3",42
1038,2025-10-10,1,"Fitter 2","Distributor 3",44
1040,2025-09-04,7,"Fitter 1","Distributor 1",13
1041,2025-08-31,5,"Fitter 4","Distributor 2",22
1046,2025-12-01,3,"Fitter 4","Distributor 1",11
1050,2025-07-09,4,"Fitter 4","Distributor 3",41
1056,2025-10-16,6,"Fitter 3","Distributor 3",27
1057,2025-03-04,6,"Fitter 3","Distributor 1",39
1058,2025-09-09,2,"Fitter 4","Distributor 3",48
1059,2025-02-14,2,"Fitter 3","Distributor 1",43
1063,2025-10-18,6,"Fitter 2","Distributor 3",20
1067,2025-08-17,4,"Fitter 3","Distributor 1",14
1068,2025-06-22,4,"Fitter 5","Distributor 3",43
1069,2025-10-10,1,"Fitter 1","Distributor 1",21
1070,2025-12-24,5,"Fitter 4","Distributor 1",41
1071,2025-10-29,3,"Fitter 5","Distributor 1",40
1074,2025-05-06,3,"Fitter 1","Distributor 1",13
1076,2025-11-07,4,"Fitter 1","Distributor 3",42
1077,2025-11-27,7,"Fitter 5","Distributor 1",34
1079,2025-06-21,6,"Fitter 2","Distributor 1",18
1080,2025-10-28,4,"Fitter 5","Distributor 1",15
1083,2025-09-17,7,"Fitter 3","Distributor 2",36
1085,2025-05-22,4,"Fitter 1","Distributor 3",39
1087,2025-09-23,2,"Fitter 4","Distributor 3",41
1089,2025-08-01,7,"Fitter 4","Distributor 1",20
1090,2025-11-23,7,"Fitter 3","Distributor 2",42
1091,2025-08-09,7,"Fitter 3","Distributor 3",32
1092,2025-08-20,1,"Fitter 5","Distributor 2",21
1093,2025-05-26,4,"Fitter 5","Distributor 1",35
1094,2025-04-15,1,"Fitter 1","Distributor 3",12
1096,2025-10-23,5,"Fitter 1","Distributor 3",49
1097,2025-04-04,4,"Fitter 5","Distributor 3",42
1098,2025-02-21,1,"Fitter 1","Distributor 2",13
1102,2025-12-08,6,"Fitter 1","Distributor 3",30
1104,2025-08-02,6,"Fitter 3","Distributor 1",30
1105,2025-03-12,4,"Fitter 1","Distributor 3",11
1106,2025-12-09,1,"Fitter 5","Distributor 1",10
1108,2025-10-23,1,"Fitter 1","Distributor 3",48
1111,2025-01-18,4,"Fitter 1","Distributor 2",20
1112,2025-09-03,5,"Fitter 5","Distributor 3",14
1113,2025-10-03,1,"Fitter 5","Distributor 1",44
1114,2025-09-26,4,"Fitter 2","Distributor 2",29
1115,2025-06-12,6,"Fitter 3","Distributor 1",42
1117,2025-04-07,2,"Fitter 5","Distributor 3",33
1119,2025-06-08,5,"Fitter 4","Distributor 2",23
1120,2025-07-09,1,"Fitter 1","Distributor 2",45
1123,2025-05-24,4,"Fitter 2","Distributor 2",40
1124,2025-05-28,4,"Fitter 3","Distributor 3",39
1126,2025-03-16,5,"Fitter 4","Distributor 2",45
1127,2025-04-05,7,"Fitter 1","Distributor 2",47
1128,2025-10-31,6,"Fitter 4","Distributor 3",18
1129,2025-09-14,4,"Fitter 4","Distributor 1",16
1130,2025-02-06,7,"Fitter 3","Distributor 3",10
1135,2025-08-12,4,"Fitter 1","Distributor 2",24
1136,2025-09-05,7,"Fitter 2","Distributor 3",20
1139,2025-04-27,1,"Fitter 4","Distributor 3",44
1140,2025-03-08,5,"Fitter 3","Distributor 2",30
1143,2025-12-04,7,"Fitter 5","Distributor 1",11
1145,2025-08-28,2,"Fitter 2","Distributor 2",35
1146,2026-01-02,6,"Fitter 2","Distributor 2",23
1147,2025-03-13,3,"Fitter 2","Distributor 2",36
1149,2025-08-04,4,"Fitter 3","Distributor 2",35
1150,2025-03-29,2,"Fitter 3","Distributor 2",26
1151,2025-04-01,2,"Fitter 2","Distributor 3",15
1152,2025-06-21,5,"Fitter 4","Distributor 3",28
1153,2025-11-29,1,"Fitter 2","Distributor 2",28
1154,2025-02-21,7,"Fitter 2","Distributor 2",10
1157,2025-06-10,2,"Fitter 2","Distributor 1",14
1159,2025-04-16,2,"Fitter 5","Distributor 1",26
1160,2025-08-21,2,"Fitter 1","Distributor 1",48
1161,2025-01-24,5,"Fitter 1","Distributor 1",42
1162,2025-07-27,6,"Fitter 4","Distributor 3",38
1163,2025-09-04,6,"Fitter 5","Distributor 1",45
1165,2025-02-13,3,"Fitter 2","Distributor 3",29
1166,2025-01-26,1,"Fitter 1","Distributor 2",46
1167,2025-04-15,2,"Fitter 5","Distributor 2",39
1168,2025-05-07,7,"Fitter 2","Distributor 3",44
1172,2025-12-19,3,"Fitter 2","Distributor 1",16
1173,2025-11-07,3,"Fitter 4","Distributor 2",20
1175,2025-05-07,5,"Fitter 3","Distributor 1",33
1176,2025-12-11,3,"Fitter 5","Distributor 3",29
1177,2025-05-08,7,"Fitter 4","Distributor 1",15
1180,2025-10-03,6,"Fitter 1","Distributor 3",16
1181,2025-05-28,5,"Fitter 4","Distributor 1",28
1185,2025-06-18,3,"Fitter 2","Distributor 1",30
1190,2025-09-19,2,"Fitter 5","Distributor 1",24
1191,2025-03-05,6,"Fitter 1","Distributor 2",13
1192,2025-12-09,6,"Fitter 4","Distributor 3",50
1194,2025-10-27,5,"Fitter 1","Distributor 1",27
1195,2025-06-19,1,"Fitter 4","Distributor 1",11
1197,2025-07-18,3,"Fitter 5","Distributor 2",24
1199,2025-01-26,5,"Fitter 3","Distributor 1",43
1200,2025-05-29,3,"Fitter 4","Distributor 1",41
1201,2025-02-07,5,"Fitter 5","Distributor 2",44
1202,2025-12-07,6,"Fitter 5","Distributor 1",19
1204,2025-06-22,3,"Fitter 3","Distributor 3",40
1206,2025-03-31,4,"Fitter 4","Distributor 3",44
1207,2025-12-23,6,"Fitter 1","Distributor 2",34
1209,2025-09-17,2,"Fitter 1","Distributor 2",14
1210,2025-04-06,4,"Fitter 4","Distributor 3",44
1211,2025-02-28,4,"Fitter 5","Distributor 2",10
1212,2025-08-12,5,"Fitter 1","Distributor 3",43
1215,2025-07-05,4,"Fitter 3","Distributor 2",45
1219,2025-04-01,3,"Fitter 4","Distributor 2",47
1220,2025-07-14,7,"Fitter 2","Distributor 2",47
1221,2025-12-20,1,"Fitter 3","Distributor 3",13
1224,2025-06-27,4,"Fitter 1","Distributor 1",27
1226,2025-07-18,6,"Fitter 3","Distributor 2",19
1227,2025-06-18,7,"Fitter 1","Distributor 3",15
1228,2025-01-23,1,"Fitter 3","Distributor 3",25
1231,2025-01-12,7,"Fitter 5","Distributor 1",48
1237,2025-07-16,2,"Fitter 1","Distributor 2",47
1238,2025-08-20,2,"Fitter 4","Distributor 1",35
1239,2025-08-12,4,"Fitter 4","Distributor 2",34
1240,2025-02-25,2,"Fitter 3","Distributor 2",37
1243,2025-04-18,2,"Fitter 5","Distributor 1",50
1244,2025-05-04,4,"Fitter 1","Distributor 3",45
1246,2025-10-23,2,"Fitter 4","Distributor 1",22
1247,2025-05-07,5,"Fitter 4","Distributor 2",41
1248,2025-06-10,2,"Fitter 4","Distributor 1",18
1250,2025-05-25,6,"Fitter 1","Distributor 2",45
1251,2025-02-25,2,"Fitter 1","Distributor 2",31
1252,2025-12-09,6,"Fitter 2","Distributor 3",11
1254,2025-07-29,1,"Fitter 2","Distributor 3",29
1257,2025-01-29,2,"Fitter 1","Distributor 2",19
1258,2025-12-08,2,"Fitter 3","Distributor 2",44
1260,2025-10-12,1,"Fitter 1","Distributor 1",23
1262,2025-09-27,6,"Fitter 2","Distributor 3",38
1263,2025-03-11,4,"Fitter 2","Distributor 2",14
1264,2025-08-15,7,"Fitter 4","Distributor 3",24
1265,2025-01-27,7,"Fitter 4","Distributor 3",22
1267,2025-01-20,3,"Fitter 3","Distributor 3",46
1268,2025-04-17,5,"Fitter 1","Distributor 3",46
1269,2025-06-22,6,"Fitter 5","Distributor 2",33
1270,2025-08-06,7,"Fitter 4","Distributor 1",35
1273,2025-04-18,6,"Fitter 3","Distributor 1",31
1278,2025-09-18,1,"Fitter 5","Distributor 1",32
1280,2026-01-05,2,"Fitter 3","Distributor 3",48
1284,2025-09-08,3,"Fitter 1","Distributor 1",13
1285,2025-09-21,4,"Fitter 3","Distributor 3",38
1286,2025-07-21,4,"Fitter 4","Distributor 1",10
1287,2025-06-04,2,"Fitter 2","Distributor 3",11
1292,2025-08-14,1,"Fitter 4","Distributor 1",11
1293,2025-09-27,5,"Fitter 5","Distributor 3",31
1294,2025-05-22,3,"Fitter 3","Distributor 2",49
1295,2025-09-02,5,"Fitter 2","Distributor 2",12
1299,2025-10-25,5,"Fitter 2","Distributor 1",12
1306,2025-07-19,6,"Fitter 2","Distributor 2",19
1307,2025-08-29,2,"Fitter 4","Distributor 2",41
1309,2025-12-05,6,"Fitter 2","Distributor 3",16
1310,2026-01-02,5,"Fitter 3","Distributor 3",28
1313,2025-06-28,7,"Fitter 2","Distributor 1",41
1317,2025-07-02,4,"Fitter 4","Distributor 1",41
1318,2025-06-20,5,"Fitter 3","Distributor 2",25
1322,2025-11-04,7,"Fitter 5","Distributor 1",32
1326,2025-09-02,2,"Fitter 5","Distributor 3",13
1327,2025-08-12,4,"Fitter 1","Distributor 2",49
1335,2026-01-11,3,"Fitter 5","Distributor 1",18
1337,2025-06-17,6,"Fitter 3","Distributor 2",22
1339,2025-03-03,6,"Fitter 2","Distributor 3",11
1341,2025-05-11,7,"Fitter 2","Distributor 3",23
1343,2025-01-19,2,"Fitter 2","Distributor 3",17
1344,2025-01-18,1,"Fitter 3","Distributor 1",10
1346,2025-09-12,3,"Fitter 5","Distributor 2",50
1348,2025-05-03,4,"Fitter 3","Distributor 3",38
1349,2025-05-01,4,"Fitter 1","Distributor 3",39
1350,2025-12-05,4,"Fitter 2","Distributor 2",45
1351,2025-11-13,4,"Fitter 2","Distributor 3",12
1353,2025-05-07,6,"Fitter 5","Distributor 3",47
1355,2025-12-31,3,"Fitter 1","Distributor 2",13
1357,2025-03-29,7,"Fitter 2","Distributor 2",11
1358,2025-02-01,3,"Fitter 2","Distributor 2",26
1359,2025-04-09,2,"Fitter 3","Distributor 2",43
1360,2025-12-09,2,"Fitter 3","Distributor 1",33
1362,2025-06-16,4,"Fitter 5","Distributor 2",41
1364,2025-05-25,3,"Fitter 1","Distributor 3",30
1368,2025-09-17,4,"Fitter 2","Distributor 2",10
1373,2025-10-01,1,"Fitter 3","Distributor 1",32
1375,2025-03-21,4,"Fitter 2","Distributor 1",23
1376,2025-12-02,5,"Fitter 2","Distributor 3",31
1377,2025-09-18,3,"Fitter 5","Distributor 1",45
1379,2025-03-11,4,"Fitter 2","Distributor 3",30
1381,2025-01-28,5,"Fitter 3","Distributor 1",42
1382,2025-04-01,3,"Fitter 1","Distributor 2",19
1385,2025-08-26,1,"Fitter 5","Distributor 2",32
1386,2025-02-11,4,"Fitter 1","Distributor 1",27
1390,2025-10-26,2,"Fitter 1","Distributor 1",41
1393,2025-04-17,2,"Fitter 3","Distributor 1",22
1394,2025-07-09,1,"Fitter 1","Distributor 3",30
1395,2025-08-03,5,"Fitter 3","Distributor 2",22
1400,2025-07-18,1,"Fitter 2","Distributor 3",26
1402,2026-01-10,4,"Fitter 2","Distributor 1",22
1409,2025-06-10,7,"Fitter 1","Distributor 2",50
1411,2025-12-10,1,"Fitter 5","Distributor 2",14
1412,2025-11-13,7,"Fitter 2","Distributor 1",35
1417,2025-12-13,1,"Fitter 2","Distributor 2",22
1421,2025-12-07,6,"Fitter 5","Distributor 2",24
1424,2025-12-15,3,"Fitter 3","Distributor 2",18
1425,2025-05-18,3,"Fitter 2","Distributor 3",38
1427,2025-01-20,6,"Fitter 4","Distributor 1",16
1429,2025-08-08,6,"Fitter 1","Distributor 3",43
1434,2025-06-11,5,"Fitter 5","Distributor 3",21
1436,2025-07-01,5,"Fitter 2","Distributor 3",33
1437,2025-05-07,7,"Fitter 1","Distributor 3",45
1438,2025-02-14,5,"Fitter 2","Distributor 2",10
1439,2025-09-16,3,"Fitter 1","Distributor 2",22
1445,2025-09-02,7,"Fitter 5","Distributor 3",48
1446,2025-09-15,5,"Fitter 1","Distributor 3",42
1448,2025-09-04,5,"Fitter 3","Distributor 3",20
1449,2025-02-03,6,"Fitter 3","Distributor 1",41
1450,2025-08-20,5,"Fitter 3","Distributor 1",17
1451,2025-10-25,2,"Fitter 5","Distributor 2",10
1453,2025-05-19,3,"Fitter 1","Distributor 3",43
1458,2025-08-06,4,"Fitter 3","Distributor 1",41
1459,2025-06-07,3,"Fitter 3","Distributor 1",30
1461,2025-10-09,4,"Fitter 5","Distributor 2",44
1465,2025-06-15,3,"Fitter 5","Distributor 3",38
1468,2025-03-22,4,"Fitter 3","Distributor 2",38
1473,2025-01-30,1,"Fitter 2","Distributor 3",13
1475,2025-05-17,5,"Fitter 5","Distributor 2",17
1477,2025-11-10,5,"Fitter 5","Distributor 1",14
1478,2025-08-08,5,"Fitter 5","Distributor 1",21
1479,2025-08-23,1,"Fitter 3","Distributor 3",25
1480,2025-09-30,4,"Fitter 4","Distributor 2",32
1481,2025-03-26,6,"Fitter 5","Distributor 1",16
1482,2025-02-15,7,"Fitter 3","Distributor 2",30
1485,2025-08-10,5,"Fitter 2","Distributor 1",16
1487,2025-06-10,3,"Fitter 2","Distributor 2",27
1488,2025-03-20,5,"Fitter 4","Distributor 2",30
1489,2025-09-09,3,"Fitter 2","Distributor 1",17
1491,2025-01-21,6,"Fitter 4","Distributor 1",15
1492,2025-08-27,4,"Fitter 5","Distributor 2",20
1494,2025-12-17,2,"Fitter 1","Distributor 1",21
1498,2025-04-22,4,"Fitter 1","Distributor 1",27
1501,2025-12-15,6,"Fitter 3","Distributor 2",35
1505,2025-07-23,2,"Fitter 4","Distributor 3",13
1510,2025-07-02,1,"Fitter 5","Distributor 1",17
1513,2025-02-14,4,"Fitter 3","Distributor 1",33
1515,2025-04-14,1,"Fitter 4","Distributor 3",31
1517,2025-10-09,1,"Fitter 4","Distributor 3",27
1521,2025-07-11,6,"Fitter 5","Distributor 1",50
1523,2025-06-18,3,"Fitter 4","Distributor 1",48
1525,2025-05-13,2,"Fitter 2","Distributor 2",31
1526,2025-04-05,4,"Fitter 2","Distributor 1",43
1527,2025-12-07,2,"Fitter 2","Distributor 3",28
1528,2025-08-20,2,"Fitter 3","Distributor 3",27
1531,2025-12-28,1,"Fitter 4","Distributor 1",35
1532,2025-08-19,3,"Fitter 4","Distributor 1",43
1534,2025-07-22,3,"Fitter 4","Distributor 3",40
1541,2025-11-22,3,"Fitter 2","Distributor 2",15
1544,2025-10-08,1,"Fitter 5","Distributor 1",18
1546,2025-09-15,7,"Fitter 4","Distributor 2",47
1548,2026-01-07,1,"Fitter 4","Distributor 1",47
1549,2025-07-03,7,"Fitter 1","Distributor 3",35
1551,2025-11-26,2,"Fitter 5","Distributor 3",43
1552,2026-01-05,2,"Fitter 2","Distributor 2",11
1553,2025-07-25,6,"Fitter 5","Distributor 3",14
1554,2025-06-17,2,"Fitter 1","Distributor 2",26
1556,2025-10-17,3,"Fitter 4","Distributor 1",46
1557,2025-01-21,6,"Fitter 5","Distributor 2",31
1558,2025-03-08,5,"Fitter 4","Distributor 3",23
1559,2025-08-30,1,"Fitter 2","Distributor 3",25
1560,2025-05-04,1,"Fitter 3","Distributor 2",16
1561,2025-12-10,3,"Fitter 1","Distributor 2",13
1563,2025-07-25,7,"Fitter 2","Distributor 1",35
1564,2025-02-10,7,"Fitter 5","Distributor 1",24
1566,2025-08-07,7,"Fitter 2","Distributor 2",14
1568,2026-01-07,5,"Fitter 5","Distributor 2",46
1569,2025-02-15,1,"Fitter 5","Distributor 3",25
1570,2025-10-11,7,"Fitter 4","Distributor 2",44
1571,2025-09-30,3,"Fitter 5","Distributor 3",18
1572,2025-02-16,1,"Fitter 5","Distributor 3",28
1573,2025-10-13,2,"Fitter 4","Distributor 2",15
1581,2025-01-24,7,"Fitter 5","Distributor 3",36
1585,2025-12-19,5,"Fitter 1","Distributor 2",35
1587,2025-09-24,5,"Fitter 2","Distributor 3",36
1593,2025-10-02,5,"Fitter 5","Distributor 2",36
1600,2025-07-02,2,"Fitter 1","Distributor 1",49
1602,2025-06-08,6,"Fitter 5","Distributor 3",24
1606,2025-08-25,3,"Fitter 1","Distributor 3",25
1607,2025-05-03,3,"Fitter 3","Distributor 1",28
1614,2025-05-07,3,"Fitter 1","Distributor 3",10
1616,2025-05-03,5,"Fitter 4","Distributor 3",19
1619,2025-05-24,1,"Fitter 5","Distributor 1",39
1622,2025-08-08,1,"Fitter 1","Distributor 3",16
1626,2025-07-02,5,"Fitter 2","Distributor 3",17
1629,2025-01-28,2,"Fitter 1","Distributor 2",27
1630,2025-12-19,3,"Fitter 5","Distributor 2",33
1631,2025-07-30,6,"Fitter 1","Distributor 3",25
1634,2025-07-08,5,"Fitter 3","Distributor 2",36
1635,2025-06-08,7,"Fitter 1","Distributor 2",15
1636,2025-01-17,7,"Fitter 5","Distributor 2",10
1638,2025-10-14,1,"Fitter 2","Distributor 2",20
1639,2025-08-17,2,"Fitter 1","Distributor 1",31
1641,2025-09-22,4,"Fitter 4","Distributor 3",33
1643,2025-12-08,7,"Fitter 1","Distributor 2",32
1648,2025-01-24,4,"Fitter 2","Distributor 1",14
1651,2025-07-29,4,"Fitter 2","Distributor 2",17
1652,2026-01-07,5,"Fitter 5","Distributor 2",42
1654,2025-11-21,6,"Fitter 5","Distributor 3",12
1655,2025-05-06,2,"Fitter 5","Distributor 2",39
1657,2025-03-23,5,"Fitter 1","Distributor 2",10
1659,2025-03-23,4,"Fitter 1","Distributor 2",24
1661,2025-06-28,6,"Fitter 4","Distributor 3",19
1662,2025-02-23,7,"Fitter 3","Distributor 2",39
1668,2025-05-31,4,"Fitter 4","Distributor 1",18
1669,2025-06-25,1,"Fitter 3","Distributor 1",42
1670,2025-10-27,2,"Fitter 5","Distributor 2",40
1674,2025-12-18,6,"Fitter 2","Distributor 2",20
1675,2025-09-30,1,"Fitter 5","Distributor 1",35
1676,2025-02-27,6,"Fitter 1","Distributor 3",40
1678,2025-02-19,2,"Fitter 5","Distributor 3",26
1680,2025-03-28,2,"Fitter 2","Distributor 2",17
1681,2025-06-13,4,"Fitter 5","Distributor 2",18
1683,2025-02-02,4,"Fitter 4","Distributor 1",27
1687,2025-09-07,6,"Fitter 2","Distributor 2",26
1688,2025-06-21,5,"Fitter 2","Distributor 2",19
1690,2025-06-18,7,"Fitter 3","Distributor 3",21
1692,2025-07-06,5,"Fitter 1","Distributor 3",21
1696,2025-06-30,6,"Fitter 5","Distributor 3",27
1697,2025-04-10,7,"Fitter 2","Distributor 2",38
1698,2025-06-12,5,"Fitter 3","Distributor 3",10
1701,2025-12-20,5,"Fitter 4","Distributor 1",33
1703,2025-11-29,2,"Fitter 5","Distributor 2",21
1707,2025-06-12,6,"Fitter 5","Distributor 3",15
1711,2025-08-19,4,"Fitter 3","Distributor 2",34
1717,2025-03-13,7,"Fitter 4","Distributor 3",30
1718,2025-09-27,5,"Fitter 3","Distributor 1",41
1720,2025-07-14,2,"Fitter 3","Distributor 1",15
1721,2025-06-09,5,"Fitter 2","Distributor 2",14
1722,2025-03-01,6,"Fitter 1","Distributor 3",36
1725,2025-04-16,4,"Fitter 2","Distributor 1",40
1727,2025-04-20,1,"Fitter 5","Distributor 2",47
1731,2025-12-25,1,"Fitter 4","Distributor 1",39
1733,2025-04-08,2,"Fitter 4","Distributor 3",21
1736,2025-08-31,6,"Fitter 2","Distributor 2",22
1738,2025-08-26,4,"Fitter 4","Distributor 3",16
1740,2025-10-02,4,"Fitter 3","Distributor 1",36
1743,2025-10-06,1,"Fitter 1","Distributor 1",50
1744,2025-12-24,6,"Fitter 5","Distributor 2",41
1745,2025-08-09,3,"Fitter 4","Distributor 1",46
1746,2025-11-24,6,"Fitter 4","Distributor 3",24
1750,2025-10-02,1,"Fitter 5","Distributor 3",14
1751,2025-11-28,5,"Fitter 2","Distributor 3",31
1752,2025-09-14,7,"Fitter 4","Distributor 2",11
1753,2025-07-18,1,"Fitter 3","Distributor 1",40
1756,2025-11-09,6,"Fitter 3","Distributor 3",24
1757,2025-09-15,6,"Fitter 2","Distributor 3",21
1759,2025-02-16,1,"Fitter 5","Distributor 3",44
1762,2025-12-30,5,"Fitter 3","Distributor 2",18
1763,2025-12-02,1,"Fitter 4","Distributor 2",32
1764,2025-02-26,6,"Fitter 4","Distributor 2",27
1771,2025-10-19,3,"Fitter 3","Distributor 1",48
1777,2025-07-16,1,"Fitter 4","Distributor 1",49
1779,2025-09-17,2,"Fitter 1","Distributor 2",21
1782,2025-04-05,1,"Fitter 3","Distributor 2",43
1783,2025-11-29,1,"Fitter 2","Distributor 1",45
1786,2025-09-17,4,"Fitter 5","Distributor 2",33
1787,2025-04-05,2,"Fitter 4","Distributor 2",33
1788,2025-08-03,5,"Fitter 2","Distributor 1",29
1789,2025-09-22,7,"Fitter 3","Distributor 2",24
1790,2025-11-09,1,"Fitter 3","Distributor 3",46
1791,2025-04-26,4,"Fitter 1","Distributor 2",40
1792,2025-08-11,2,"Fitter 1","Distributor 3",36
1793,2025-06-05,4,"Fitter 4","Distributor 2",13
1794,2025-04-26,7,"Fitter 3","Distributor 1",49
1795,2025-02-01,4,"Fitter 5","Distributor 1",12
1798,2025-03-25,5,"Fitter 2","Distributor 1",38
1799,2025-05-06,7,"Fitter 3","Distributor 3",16
1800,2025-11-26,1,"Fitter 2","Distributor 3",49
1801,2025-08-28,4,"Fitter 3","Distributor 2",39
1802,2025-09-07,5,"Fitter 3","Distributor 2",28
1804,2025-02-26,1,"Fitter 3","Distributor 3",28
1805,2025-03-28,2,"Fitter 1","Distributor 2",40
1807,2025-05-12,6,"Fitter 2","Distributor 2",17
1809,2025-01-17,5,"Fitter 3","Distributor 2",50
1810,2025-10-24,4,"Fitter 1","Distributor 2",30
1812,2025-03-15,4,"Fitter 3","Distributor 1",24
1813,2026-01-02,1,"Fitter 2","Distributor 1",38
1814,2025-09-10,3,"Fitter 4","Distributor 3",25
1818,2025-06-06,5,"Fitter 1","Distributor 3",18
1820,2025-05-13,6,"Fitter 4","Distributor 2",39
1824,2025-01-23,7,"Fitter 5","Distributor 3",48
1831,2025-08-03,5,"Fitter 4","Distributor 1",16
1833,2025-07-17,6,"Fitter 5","Distributor 1",43
1834,2025-11-03,6,"Fitter 2","Distributor 1",28
1837,2025-04-26,5,"Fitter 5","Distributor 1",49
1838,2025-07-10,7,"Fitter 4","Distributor 3",31
1843,2025-02-05,3,"Fitter 4","Distributor 1",25
1844,2025-11-28,3,"Fitter 3","Distributor 3",48
1848,2025-10-18,4,"Fitter 4","Distributor 3",46
1849,2025-09-27,4,"Fitter 5","Distributor 1",31
1853,2025-03-20,2,"Fitter 3","Distributor 2",43
1857,2026-01-08,6,"Fitter 1","Distributor 1",33
1858,2025-12-24,5,"Fitter 5","Distributor 1",13
1859,2025-11-28,6,"Fitter 2","Distributor 3",45
1860,2025-05-21,2,"Fitter 3","Distributor 2",22
1862,2026-01-02,4,"Fitter 2","Distributor 3",30
1863,2025-07-12,5,"Fitter 2","Distributor 1",29
1867,2025-02-17,1,"Fitter 2","Distributor 3",50
1869,2025-07-26,5,"Fitter 5","Distributor 1",10
1872,2025-05-19,3,"Fitter 2","Distributor 1",40
1875,2025-09-10,1,"Fitter 4","Distributor 1",44
1880,2025-03-22,7,"Fitter 2","Distributor 1",30
1884,2025-06-30,4,"Fitter 1","Distributor 2",20
1885,2025-01-26,5,"Fitter 3","Distributor 3",24
1887,2025-03-16,4,"Fitter 4","Distributor 2",12
1888,2025-12-06,6,"Fitter 4","Distributor 3",14
1889,2025-01-20,3,"Fitter 2","Distributor 3",47
1892,2025-06-14,4,"Fitter 3","Distributor 2",21
1893,2025-11-06,5,"Fitter 2","Distributor 1",33
1894,2025-07-07,5,"Fitter 5","Distributor 1",47
1897,2025-03-13,6,"Fitter 1","Distributor 1",16
1899,2025-11-15,3,"Fitter 3","Distributor 1",11
1900,2025-07-04,6,"Fitter 1","Distributor 1",19
1901,2025-09-20,1,"Fitter 1","Distributor 3",38
1907,2025-04-23,2,"Fitter 2","Distributor 3",20
1908,2025-12-10,3,"Fitter 4","Distributor 1",25
1910,2025-04-18,1,"Fitter 2","Distributor 2",42
1911,2025-07-22,4,"Fitter 5","Distributor 3",27
1916,2025-04-26,2,"Fitter 5","Distributor 2",30
1917,2025-12-02,3,"Fitter 2","Distributor 1",17
1922,2025-12-08,1,"Fitter 3","Distributor 2",35
1924,2025-05-26,7,"Fitter 4","Distributor 1",10
1927,2026-01-07,1,"Fitter 4","Distributor 3",26
1931,2025-07-12,3,"Fitter 1","Distributor 1",13
1935,2025-11-09,4,"Fitter 1","Distributor 3",34
1939,2025-11-09,4,"Fitter 5","Distributor 2",28
1940,2025-10-02,3,"Fitter 1","Distributor 2",35
1941,2025-07-19,3,"Fitter 1","Distributor 1",18
1945,2025-03-23,3,"Fitter 3","Distributor 3",17
1946,2025-05-15,1,"Fitter 4","Distributor 2",22
1948,2025-03-21,6,"Fitter 1","Distributor 3",37
1950,2025-01-27,7,"Fitter 3","Distributor 1",12
1951,2025-08-19,2,"Fitter 1","Distributor 1",18
1952,2025-05-05,7,"Fitter 1","Distributor 1",41
1953,2025-12-21,7,"Fitter 5","Distributor 1",13
1954,2025-08-25,3,"Fitter 5","Distributor 3",23
1956,2025-05-01,7,"Fitter 3","Distributor 2",14
1957,2025-11-19,4,"Fitter 2","Distributor 1",20
1961,2025-06-20,7,"Fitter 4","Distributor 1",38
1963,2025-10-29,6,"Fitter 4","Distributor 2",43
1967,2025-08-12,6,"Fitter 4","Distributor 1",38
1968,2025-10-22,6,"Fitter 1","Distributor 2",23
1970,2025-07-10,4,"Fitter 2","Distributor 1",44
1973,2025-12-03,5,"Fitter 1","Distributor 1",29
1974,2025-07-27,2,"Fitter 1","Distributor 3",12
1975,2025-11-15,6,"Fitter 1","Distributor 3",48
1976,2025-10-23,6,"Fitter 2","Distributor 1",35
1977,2025-11-20,5,"Fitter 4","Distributor 2",22
1979,2025-09-01,4,"Fitter 1","Distributor 1",10
1981,2025-02-16,1,"Fitter 5","Distributor 3",50
1982,2025-09-17,4,"Fitter 5","Distributor 2",35
1984,2025-11-30,4,"Fitter 3","Distributor 3",26
1985,2025-10-15,5,"Fitter 1","Distributor 2",34
1989,2025-03-28,3,"Fitter 2","Distributor 3",42
1991,2025-02-07,6,"Fitter 3","Distributor 1",26
